RestaurantID,Cuisine
yEpkPwO6uLfmzp1BMJBUFg,korean
M-odQWSEfsR2mVEw7nKG-g,korean
QPTxlH9KxraVczH-Ckntxg,korean
5J7C1hPiO4-_9tXAcKI6AQ,korean
qQco4F16Gi2SBcTE1trEBQ,korean
_riKxC9lqWhUyEyU8K1ESA,korean
l7RpTuovYPl2GsJiopIaBg,korean
OfhbwhWzIn6TYYpubLZNsQ,korean
vQ2MwpkjcrF7uxs87oMeyw,korean
JhJLPp6KuBcD3CHCkEKJ_A,korean
ya8HC5_97zGt3wNPWNNENA,korean
i6RhqnCJ_oUfTu5LikGXUg,korean
YxCLC_Jv5svNgfJdwu9rJg,korean
u0qfikB-ppp6UwoNKqxlRw,korean
3ca-gx5hhvrhzwNQVLv2kA,korean
nxTEuWKzkK1tCF4LrhFSUQ,korean
KS0aRZlR9j4IwlsFo1_VkQ,korean
5AD9nY8UrYlCVMb3Y6KeWg,korean
XfHgiIsoo1Pr_v04bx9ptg,korean
Ab-oC8Wm_R73gWQYOUW_xA,korean
axqp3pGJXnTLgq2QrPyDyQ,korean
qm1J_dPA5IHij1oAnoZwHw,korean
GcHaiid2EZpYBTOoquvhUg,korean
ZtjF2N3eYOjtnI3cES2fpw,korean
J94ABP6EutD7jE3KSLM36w,korean
dpCSDy9uefOEcY44FHss2Q,korean
KfaG5PoTEPpbODHBta9irw,korean
LjBKkUSpMwrpo99hXgtHYw,korean
wqdFd3DZD_uTXRW784mFkg,korean
bokNBgAa9rmMMO8dkZVR1w,korean
1CY0Mk1PXIUoVLsLhPq75A,korean
XtuJ1t5EI1QHxs7rZOPytA,korean
5NyOV1yaipv9FpiHRriDwg,korean
QwOXPf0qBy9OYi0KLbvMew,korean
ucO0J9f1m7bIs1nQclzSeQ,korean
l7G5tDA96xbA_bx1ZgkOeg,korean
dEp2ubj8SRGD32N3yw2h_A,korean
xFp3xSQ43J-i7nmJfNBsZA,korean
oE0gOeRyjDU6Me0zNAsz_Q,korean
jmniGiJ9b0P6QQiaGRUCIg,korean
ULDVJYTT-47RqbLtlR_FUA,korean
yTng6X-YW3_hKMNzcdSHyw,korean
kN3rkbjvqkY62CDRYUVz4g,korean
icZcEK39HXuL2q08i4EkkQ,korean
d-h7LmoOIO8hvtYILi8HlQ,korean
ojohwZNdrLMFVfRnw1nMew,korean
WqLIjGVGynMS-vHRVDYjIg,korean
NXZFu7KHBrG02gzYneY5Xg,thai
5-cv4xv4IBao7N1LSH6tHA,thai
OrhRTDA0dj81XVhOibXsUQ,thai
pNeBjEYCmI9gS-GcwRc4Ew,thai
IiYRxMJLfLCsgifzRNvrtA,thai
a5H9p1B6m6WPVjakPylvdA,thai
yiyc5wbgSCe13I7hj_jb-A,thai
Tmc90kL5jelJ2c9CiGzSFA,thai
yCJHIM-PWl54K53ACOpoNg,thai
WM2tNgae2GSiUu-UPdbk6w,thai
mU1ctN2chR3U3__d_Zjcng,thai
3Pj_6JogAypgXNhM1-iSPQ,thai
n61FbfvTddHBXF5WKWjF4g,thai
ucWrNKS65jUVK6ICUoHC8Q,thai
fgGRIM0b9JGIoNOAnHzROQ,thai
0VGn3bLaUG7lhM5WwkMTCA,thai
tjILxkIZKcppgew6NwIngQ,thai
pepM7-yv4-jCT6S1nl6fPg,thai
cvJ39wrAYnquWuMhfFAS2w,thai
IYwz7ck1OZCoZqW0F31pLg,thai
qd9_gxrmskbOT6OLN9sShA,thai
8Oo2AtQEPDfxIOnA8wfXoQ,thai
58jCXglRFRn6qwZ_IxYb6A,thai
JzD9nfJWHwnG-2Wk87muHg,thai
I4FWrwXDC91lsfQLXYSeXA,thai
dJYc9Hi0KJRMqCkCJOxC-w,thai
brMIenh-sAXr1zq6zpBKLA,thai
B9UfgHgm5-hOErK8-54EsA,thai
jKDXlyPG-2rmcp9Ej6jPLA,thai
kXuubLd6s3GidpqU3psPdw,thai
OR9oqAJW-U5ZnqhwH12Nuw,thai
yQiII2hHgV5aEMtIA2VG0Q,thai
fe9aDWC5giHgcuKjqSr_gQ,thai
tVB11pOiDhPWlt_o6ylMNg,thai
hFI-5zcNZkR7Ppjl4YL37A,thai
U74_3F7r3tMhd6dmTmDBxQ,thai
p2zm0HnXZkI2yCAuYLb45g,thai
LIsCe_l7kUlv2cUs6AxNQQ,thai
pvxX-nvg3o-eZDlvrtYhQQ,thai
VMDmMIWR059HKMp_Mj3Msw,thai
noKyBvc-z4eTGgxlvMnKjA,thai
EAkIy8TKrW4yPPDCZyP-Cw,thai
zqyGYIiCXL1Hz8KVZxbylQ,thai
jfnDwWBGK4JoWE5jbeKxSw,thai
4nwVzRCfWFGe6_Taqee4Cg,thai
cWodGgBljJUVp9QQiPt3yQ,thai
hg9XXLb2AeJHJ7eX-6JnMg,thai
sb1_MyLHzmjV1Jk21pyOIA,thai
1851MMElaLteR03rnGAMlw,thai
7DnZWIn1Dcsvq-_pIXXFZQ,thai
