,RestaurantID,Name,Cuisine,Rating,Number of Reviews,Address,Zip Code,Latitude,Longitude,isClosed,insertedAtTimestamp
2251,kGkAU_WT0BjDZsSD5keRZA,Hard Rock Cafe,american,3.0,863,1501 Broadway,10036.0,40.75689333486039,-73.9865529930391,False,03/03/2020 18:02:19
6450,6GwOwhHPW8YCSfaOtM-55Q,Vandal,american,3.5,1443,199 Bowery,10002.0,40.72104,-73.99325999999999,False,03/03/2020 18:16:14
6452,mHBhUxHgDGjsB1LJl4qW0w,Hillstone Restaurant,american,4.0,1088,888 3rd Ave,10022.0,40.758352,-73.969112,False,03/03/2020 18:16:14
2976,2VpurA2lb-q90nmALklNcA,Perry St,american,4.0,935,176 Perry St,10014.0,40.73442,-74.00971,False,03/03/2020 18:04:35
2977,JEuIdK9hzci9g_TuwfnZ_w,Society Cafe,american,4.0,176,52 W 13th St,10011.0,40.7362063,-73.9965962,False,03/03/2020 18:04:35
2978,RAejT6MPqqpprhgiCDdyJA,The Grayson,american,3.5,234,16 1st Ave,10009.0,40.72338,-73.98796999999999,False,03/03/2020 18:04:35
2979,8Y5Ytn30Wup9sNf2n99s1A,NOMO Kitchen,american,3.5,532,9 Crosby St,10013.0,40.7198301,-74.0000708,False,03/03/2020 18:04:35
2980,BEYmqrP1_TC0nhnTGKkkJg,Ella Social,american,4.0,498,249 Columbus Ave,10023.0,40.7769826,-73.9788067,False,03/03/2020 18:04:35
2981,veq1Bl1DW3UWMekZJUsG1Q,Gramercy Tavern,american,4.5,2885,42 E 20th St,10003.0,40.738527000000005,-73.988417,False,03/03/2020 18:04:35
2982,u9xVzV1OZC5pwtUgaHLM-A,El Kallejon,american,4.5,294,209 E 117th St,10035.0,40.798538,-73.938805,False,03/03/2020 18:04:35
2983,fuS39acPaRi38DhSSwEI4Q,Felice,american,4.0,362,15 Gold St,10038.0,40.70789,-74.00712,False,03/03/2020 18:04:35
2984,DpZBA0-f7Um9lvnp1zZM2A,Earl's Beer & Cheese,american,4.5,594,1259 Park Ave,10029.0,40.787290000000006,-73.95152,False,03/03/2020 18:04:42
